[PiCamera @ factory.py:85][DEBUG] 2017-11-10 15:59:42,850: Logging to: logs/2017_Nov_10/PiCamera/15_59_42.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 15:59:42,878: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 15:59:43,143: PiCamera initialized: <picamera.camera.PiCamera object at 0x6df80718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 15:59:43,144: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 15:59:57,120: [log buffer start]
[DEBUG, 1510347601.1338868]: PiCamera image received: ImageMessage(t=1510347601.1338692, n=244)
[DEBUG, 1510347601.1675775]: PiCamera image received: ImageMessage(t=1510347601.1675622, n=245)
[DEBUG, 1510347601.2757351]: PiCamera image received: ImageMessage(t=1510347601.2753308, n=246)
[DEBUG, 1510347601.3480575]: PiCamera image received: ImageMessage(t=1510347601.3480422, n=247)
[DEBUG, 1510347601.454697]: PiCamera image received: ImageMessage(t=1510347601.454681, n=248)
[DEBUG, 1510347601.490446]: PiCamera image received: ImageMessage(t=1510347601.4904304, n=249)
[DEBUG, 1510347601.5416582]: PiCamera image received: ImageMessage(t=1510347601.5416434, n=250)
[DEBUG, 1510347601.6130018]: PiCamera image received: ImageMessage(t=1510347601.6129866, n=251)
[DEBUG, 1510347601.7131512]: PiCamera image received: ImageMessage(t=1510347601.713134, n=253)
[DEBUG, 1510347601.7483795]: PiCamera image received: ImageMessage(t=1510347601.7483644, n=254)
[DEBUG, 1510347601.8813586]: PiCamera image received: ImageMessage(t=1510347601.8813436, n=255)
[DEBUG, 1510347601.9465494]: PiCamera image received: ImageMessage(t=1510347601.9465344, n=256)
[DEBUG, 1510347602.0467436]: PiCamera image received: ImageMessage(t=1510347602.0467286, n=257)
[DEBUG, 1510347602.1510048]: PiCamera image received: ImageMessage(t=1510347602.1509907, n=258)
[DEBUG, 1510347602.217478]: PiCamera image received: ImageMessage(t=1510347602.2174618, n=259)
[DEBUG, 1510347602.287688]: PiCamera image received: ImageMessage(t=1510347602.287673, n=260)
[DEBUG, 1510347602.3705692]: PiCamera image received: ImageMessage(t=1510347602.3705544, n=261)
[DEBUG, 1510347602.403707]: PiCamera image received: ImageMessage(t=1510347602.4036922, n=262)
[DEBUG, 1510347602.4368877]: PiCamera image received: ImageMessage(t=1510347602.4368725, n=263)
[DEBUG, 1510347602.5042193]: PiCamera image received: ImageMessage(t=1510347602.5042045, n=264)
