[PiCamera @ factory.py:85][DEBUG] 2017-11-10 19:52:25,666: Logging to: logs/2017_Nov_10/PiCamera/19_52_25.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 19:52:25,696: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 19:52:25,961: PiCamera initialized: <picamera.camera.PiCamera object at 0x6deb1718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 19:52:25,962: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 19:52:39,418: [log buffer start]
[log buffer end]
[PiCamera @ node.py:81][DEBUG] 2017-11-10 19:52:39,419: logging message buffer (len=16464)
[PiCamera @ node.py:79][DEBUG] 2017-11-10 19:52:50,728: [log buffer start]
[DEBUG, 1510361559.4655948]: PiCamera image received: ImageMessage(t=1510361559.4655776, n=183)
[DEBUG, 1510361559.5362878]: PiCamera image received: ImageMessage(t=1510361559.5362725, n=184)
[DEBUG, 1510361559.6080403]: PiCamera image received: ImageMessage(t=1510361559.6080256, n=185)
[DEBUG, 1510361559.6417823]: PiCamera image received: ImageMessage(t=1510361559.6417668, n=186)
[DEBUG, 1510361559.7516992]: PiCamera image received: ImageMessage(t=1510361559.7516837, n=187)
[DEBUG, 1510361559.7864985]: PiCamera image received: ImageMessage(t=1510361559.786483, n=188)
[DEBUG, 1510361559.8527262]: PiCamera image received: ImageMessage(t=1510361559.8526933, n=189)
[DEBUG, 1510361559.9510586]: PiCamera image received: ImageMessage(t=1510361559.951043, n=190)
[DEBUG, 1510361559.9856393]: PiCamera image received: ImageMessage(t=1510361559.9856234, n=191)
[DEBUG, 1510361560.086972]: PiCamera image received: ImageMessage(t=1510361560.0869563, n=192)
[DEBUG, 1510361560.1223695]: PiCamera image received: ImageMessage(t=1510361560.1223545, n=193)
[DEBUG, 1510361560.15606]: PiCamera image received: ImageMessage(t=1510361560.1560438, n=194)
[DEBUG, 1510361560.2265086]: PiCamera image received: ImageMessage(t=1510361560.2264926, n=195)
[DEBUG, 1510361560.259896]: PiCamera image received: ImageMessage(t=1510361560.2598798, n=196)
[DEBUG, 1510361560.3913293]: PiCamera image received: ImageMessage(t=1510361560.3913138, n=197)
[DEBUG, 1510361560.4383512]: PiCamera image received: ImageMessage(t=1510361560.4383357, n=198)
[DEBUG, 1510361560.471444]: PiCamera image received: ImageMessage(t=1510361560.4714282, n=199)
[DEBUG, 1510361560.5363545]: PiCamera image received: ImageMessage(t=1510361560.53634, n=200)
[DEBUG, 1510361560.568977]: PiCamera image received: ImageMessage(t=1510361560.568962, n=201)
[DEBUG, 1510361560.6698909]: PiCamera image received: ImageMessage(t=1510361560.669875, n=202)
[DEBUG, 1510361560.7029936]: PiCamera image received: ImageMessage(t=1510361560.7029793, n=203)
[DEBUG, 1510361560.7365668]: PiCamera image received: ImageMessage(t=1510361560.7365518, n=204)
[DEBUG, 1510361560.8090262]: PiCamera image received: ImageMessage(t=1510361560.8090103, n=205)
[DEBUG, 1510361560.843803]: PiCamera image received: ImageMessage(t=1510361560.843788, n=206)
[DEBUG, 1510361560.8786416]: PiCamera image received: ImageMessage(t=1510361560.878627, n=207)
[DEBUG, 1510361560.9794888]: PiCamera image received: ImageMessage(t=1510361560.9794722, n=208)
[DEBUG, 1510361561.0170515]: PiCamera image received: ImageMessage(t=1510361561.017036, n=209)
[DEBUG, 1510361561.0512476]: PiCamera image received: ImageMessage(t=1510361561.0512326, n=210)
[DEBUG, 1510361561.154838]: PiCamera image received: ImageMessage(t=1510361561.1548228, n=212)
[DEBUG, 1510361561.2235198]: PiCamera image received: ImageMessage(t=1510361561.2235045, n=213)
[DEBUG, 1510361561.2935145]: PiCamera image received: ImageMessage(t=1510361561.2934988, n=214)
[DEBUG, 1510361561.3913536]: PiCamera image received: ImageMessage(t=1510361561.3913388, n=215)
[DEBUG, 1510361561.4294996]: PiCamera image received: ImageMessage(t=1510361561.4294841, n=216)
[DEBUG, 1510361561.5399678]: PiCamera image received: ImageMessage(t=1510361561.5399532, n=217)
[DEBUG, 1510361561.573187]: PiCamera image received: ImageMessage(t=1510361561.5731704, n=218)
[DEBUG, 1510361561.610756]: PiCamera image received: ImageMessage(t=1510361561.6107404, n=219)
[DEBUG, 1510361561.6789296]: PiCamera image received: ImageMessage(t=1510361561.6789145, n=220)
[DEBUG, 1510361561.7474866]: PiCamera image received: ImageMessage(t=1510361561.7474706, n=221)
[DEBUG, 1510361561.7818017]: PiCamera image received: ImageMessage(t=1510361561.7817872, n=222)
[DEBUG, 1510361561.8149302]: PiCamera image received: ImageMessage(t=1510361561.8149154, n=223)
[DEBUG, 1510361561.8841991]: PiCamera image received: ImageMessage(t=1510361561.8841841, n=224)
[DEBUG, 1510361562.0061367]: PiCamera image received: ImageMessage(t=1510361562.0061214, n=225)
[DEBUG, 1510361562.0404153]: PiCamera image received: ImageMessage(t=1510361562.0404, n=226)
[DEBUG, 1510361562.0739195]: PiCamera image received: ImageMessage(t=1510361562.0739033, n=227)
[DEBUG, 1510361562.1093135]: PiCamera image received: ImageMessage(t=1510361562.109299, n=228)
[DEBUG, 1510361562.2152905]: PiCamera image received: ImageMessage(t=1510361562.2152748, n=229)
