[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:48:30,950: Logging to: logs/2017_Oct_27/PiCamera/15_48_30.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:48:30,992: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:48:31,258: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff00ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:48:31,259: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:48:33,291: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_48_30.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:48:43,236: [log buffer start]
[DEBUG, 1509133725.1332483]: PiCamera image received: ImageMessage(t=1509133725.1332333, n=213)
[DEBUG, 1509133725.2000597]: PiCamera image received: ImageMessage(t=1509133725.2000453, n=214)
[DEBUG, 1509133725.265798]: PiCamera image received: ImageMessage(t=1509133725.265783, n=215)
[DEBUG, 1509133725.2984703]: PiCamera image received: ImageMessage(t=1509133725.2984555, n=216)
[DEBUG, 1509133725.3644185]: PiCamera image received: ImageMessage(t=1509133725.3644032, n=217)
[DEBUG, 1509133725.4363987]: PiCamera image received: ImageMessage(t=1509133725.4363837, n=218)
[DEBUG, 1509133725.4691682]: PiCamera image received: ImageMessage(t=1509133725.4691546, n=219)
[DEBUG, 1509133725.5020843]: PiCamera image received: ImageMessage(t=1509133725.5020695, n=220)
[DEBUG, 1509133725.5686789]: PiCamera image received: ImageMessage(t=1509133725.5686634, n=221)
[DEBUG, 1509133725.6335027]: PiCamera image received: ImageMessage(t=1509133725.6334884, n=222)
[DEBUG, 1509133725.7328622]: PiCamera image received: ImageMessage(t=1509133725.7328453, n=223)
[DEBUG, 1509133725.7671463]: PiCamera image received: ImageMessage(t=1509133725.7671297, n=224)
[DEBUG, 1509133725.8411543]: PiCamera image received: ImageMessage(t=1509133725.8411398, n=225)
[DEBUG, 1509133725.8736997]: PiCamera image received: ImageMessage(t=1509133725.873685, n=226)
[DEBUG, 1509133725.9715168]: PiCamera image received: ImageMessage(t=1509133725.9715025, n=227)
[DEBUG, 1509133726.0066319]: PiCamera image received: ImageMessage(t=1509133726.0066178, n=228)
[DEBUG, 1509133726.0388505]: PiCamera image received: ImageMessage(t=1509133726.038837, n=229)
[DEBUG, 1509133726.0709417]: PiCamera image received: ImageMessage(t=1509133726.0709276, n=230)
[DEBUG, 1509133726.1037273]: PiCamera image received: ImageMessage(t=1509133726.103711, n=231)
[DEBUG, 1509133726.1366103]: PiCamera image received: ImageMessage(t=1509133726.1365957, n=232)
[DEBUG, 1509133726.2068374]: PiCamera image received: ImageMessage(t=1509133726.2068214, n=233)
[DEBUG, 1509133726.2922218]: PiCamera image received: ImageMessage(t=1509133726.2922063, n=234)
[DEBUG, 1509133726.327981]: PiCamera image received: ImageMessage(t=1509133726.3279662, n=235)
[DEBUG, 1509133726.392815]: PiCamera image received: ImageMessage(t=1509133726.3928003, n=236)
[DEBUG, 1509133726.4569755]: PiCamera image received: ImageMessage(t=1509133726.456961, n=237)
[DEBUG, 1509133726.52573]: PiCamera image received: ImageMessage(t=1509133726.525715, n=238)
[DEBUG, 1509133726.558702]: PiCamera image received: ImageMessage(t=1509133726.5586872, n=239)
[DEBUG, 1509133726.5915947]: PiCamera image received: ImageMessage(t=1509133726.5915797, n=240)
[DEBUG, 1509133726.656139]: PiCamera image received: ImageMessage(t=1509133726.6561239, n=241)
[DEBUG, 1509133726.6890047]: PiCamera image received: ImageMessage(t=1509133726.688989, n=242)
